Databases,Hardware,Security,Networking,Software Development,Programming Skills,Project Management,Core Technical,Communication,AI ML,Software Engineering,Business Analysis and Data Science,Communication Skills,IT Graphics Designing,Role
Average,Intermediate,Intermediate,Intermediate,Not Interested,Beginner,Not Interested,Average,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Information Security Specialist
Not Interested,Poor,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Beginner,Intermediate,Not Interested,Poor,Not Interested,Intermediate,Not Interested,Application Support Engineer
Not Interested,Not Interested,Not Interested,Excellent,Beginner,Average,Beginner,Not Interested,Excellent,Not Interested,Average,Beginner,Excellent,Beginner,Helpdesk Engineer
Beginner,Beginner,Beginner,Not Interested,Beginner,Poor,Beginner,Intermediate,Intermediate,Not Interested,Average,Poor,Average,Not Interested,Application Support Engineer
Average,Not Interested,Average,Intermediate,Not Interested,Beginner,Excellent,Not Interested,Excellent,Beginner,Beginner,Not Interested,Intermediate,Poor,Project Manager
Average,Beginner,Average,Average,Average,Average,Beginner,Average,Excellent,Poor,Beginner,Poor,Excellent,Not Interested,Application Support Engineer
Intermediate,Not Interested,Poor,Poor,Beginner,Intermediate,Beginner,Beginner,Not Interested,Average,Intermediate,Excellent,Average,Average,Data Scientist
Excellent,Average,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Intermediate,Intermediate,Not Interested,Average,Not Interested,Intermediate,Not Interested,Database Administrator
Average,Beginner,Beginner,Not Interested,Beginner,Average,Excellent,Excellent,Excellent,Beginner,Average,Not Interested,Excellent,Not Interested,Project Manager
Beginner,Excellent,Beginner,Intermediate,Beginner,Beginner,Beginner,Excellent,Intermediate,Average,Intermediate,Poor,Beginner,Poor,Hardware Engineer
Beginner,Not Interested,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Excellent,Average,Not Interested,Intermediate,Average,Not Interested,Not Interested,API Specialist
Not Interested,Not Interested,Poor,Not Interested,Intermediate,Intermediate,Poor,Intermediate,Average,Intermediate,Average,Beginner,Average,Not Interested,Software Developer
Not Interested,Not Interested,Poor,Poor,Average,Not Interested,Beginner,Excellent,Beginner,Beginner,Intermediate,Average,Not Interested,Poor,Software Tester
Excellent,Beginner,Excellent,Excellent,Average,Beginner,Average,Intermediate,Intermediate,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Database Administrator
Average,Intermediate,Intermediate,Intermediate,Not Interested,Average,Not Interested,Excellent,Intermediate,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Information Security Specialist
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Poor,Excellent,Not Interested,Not Interested,Not Interested,Beginner,Intermediate,Graphics Designer
Average,Not Interested,Poor,Beginner,Intermediate,Not Interested,Not Interested,Average,Intermediate,Beginner,Beginner,Not Interested,Average,Not Interested,Software Tester
Intermediate,Intermediate,Not Interested,Average,Excellent,Intermediate,Average,Excellent,Not Interested,Average,Excellent,Excellent,Intermediate,Not Interested,Software Tester
Poor,Average,Excellent,Excellent,Poor,Beginner,Average,Excellent,Poor,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Intermediate,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Intermediate,Not Interested,Average,Not Interested,Beginner,Excellent,Excellent,Not Interested,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Average,Intermediate,Graphics Designer
Poor,Not Interested,Intermediate,Beginner,Not Interested,Beginner,Not Interested,Average,Beginner,Not Interested,Not Interested,Average,Average,Not Interested,Information Security Specialist
Not Interested,Beginner,Beginner,Poor,Excellent,Average,Excellent,Intermediate,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Project Manager
Not Interested,Average,Intermediate,Average,Poor,Not Interested,Not Interested,Intermediate,Not Interested,Poor,Beginner,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Not Interested,Poor,Not Interested,Beginner,Average,Excellent,Average,Excellent,Not Interested,Not Interested,Average,Poor,Intermediate,Beginner,Software Developer
Intermediate,Average,Beginner,Not Interested,Excellent,Excellent,Beginner,Excellent,Not Interested,Intermediate,Average,Intermediate,Intermediate,Beginner,Data Scientist
Intermediate,Not Interested,Poor,Not Interested,Poor,Beginner,Poor,Beginner,Average,Intermediate,Average,Not Interested,Poor,Not Interested,AI ML Specialist
Not Interested,Beginner,Excellent,Average,Not Interested,Beginner,Average,Average,Beginner,Not Interested,Not Interested,Not Interested,Poor,Poor,Cyber Security Specialist
Not Interested,Poor,Not Interested,Beginner,Beginner,Not Interested,Average,Intermediate,Excellent,Poor,Poor,Intermediate,Excellent,Not Interested,Customer Service Executive
Poor,Beginner,Poor,Beginner,Average,Beginner,Excellent,Beginner,Excellent,Poor,Beginner,Not Interested,Excellent,Not Interested,Project Manager
Excellent,Not Interested,Intermediate,Not Interested,Beginner,Beginner,Beginner,Intermediate,Beginner,Poor,Average,Poor,Beginner,Beginner,Database Administrator
Not Interested,Not Interested,Average,Not Interested,Beginner,Intermediate,Not Interested,Intermediate,Average,Beginner,Average,Not Interested,Average,Average,Data Scientist
Poor,Not Interested,Excellent,Excellent,Beginner,Poor,Poor,Excellent,Beginner,Not Interested,Intermediate,Beginner,Not Interested,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,Beginner,Beginner,Not Interested,Not Interested,Poor,Not Interested,Intermediate,Not Interested,Not Interested,Average,Intermediate,Not Interested,Helpdesk Engineer
Not Interested,Intermediate,Excellent,Intermediate,Not Interested,Average,Not Interested,Average,Average,Not Interested,Average,Poor,Average,Not Interested,Cyber Security Specialist
Poor,Poor,Intermediate,Average,Beginner,Poor,Not Interested,Average,Excellent,Not Interested,Not Interested,Poor,Excellent,Not Interested,Helpdesk Engineer
Beginner,Beginner,Not Interested,Average,Not Interested,Beginner,Not Interested,Not Interested,Average,Not Interested,Poor,Poor,Intermediate,Not Interested,Helpdesk Engineer
Excellent,Intermediate,Average,Beginner,Intermediate,Excellent,Beginner,Excellent,Average,Excellent,Intermediate,Intermediate,Beginner,Poor,Data Scientist
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Beginner,Poor,Excellent,Beginner,Not Interested,Not Interested,Not Interested,Average,Not Interested,Application Support Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Average,Not Interested,Customer Service Executive
Average,Beginner,Not Interested,Not Interested,Beginner,Not Interested,Average,Intermediate,Intermediate,Average,Average,Excellent,Average,Not Interested,Business Analyst
Average,Average,Beginner,Not Interested,Intermediate,Average,Beginner,Average,Not Interested,Beginner,Intermediate,Not Interested,Beginner,Poor,Software Developer
Beginner,Not Interested,Poor,Poor,Beginner,Not Interested,Average,Beginner,Excellent,Not Interested,Poor,Excellent,Excellent,Poor,Customer Service Executive
Not Interested,Excellent,Poor,Beginner,Not Interested,Poor,Beginner,Average,Poor,Not Interested,Poor,Not Interested,Poor,Not Interested,Hardware Engineer
Intermediate,Poor,Poor,Not Interested,Not Interested,Poor,Excellent,Not Interested,Excellent,Poor,Beginner,Intermediate,Excellent,Not Interested,Project Manager
Not Interested,Poor,Not Interested,Poor,Poor,Poor,Beginner,Average,Average,Not Interested,Excellent,Intermediate,Not Interested,Not Interested,Software Tester
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Average,Poor,Poor,Average,Not Interested,Average,Average,Not Interested,AI ML Specialist
Not Interested,Not Interested,Not Interested,Average,Average,Not Interested,Beginner,Average,Excellent,Poor,Poor,Not Interested,Excellent,Not Interested,Helpdesk Engineer
Not Interested,Not Interested,Poor,Poor,Not Interested,Not Interested,Excellent,Average,Excellent,Poor,Average,Excellent,Excellent,Poor,Project Manager
Beginner,Poor,Poor,Beginner,Average,Intermediate,Not Interested,Excellent,Intermediate,Average,Intermediate,Average,Beginner,Not Interested,Software Developer
Poor,Poor,Not Interested,Average,Average,Excellent,Not Interested,Excellent,Intermediate,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,API Specialist
Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Not Interested,Poor,Not Interested,Excellent,Not Interested,Customer Service Executive
Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Excellent,Graphics Designer
Excellent,Intermediate,Excellent,Intermediate,Average,Average,Intermediate,Excellent,Excellent,Not Interested,Not Interested,Intermediate,Not Interested,Poor,Database Administrator
Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Not Interested,Average,Not Interested,Beginner,Excellent,Not Interested,Not Interested,Poor,Software Developer
Intermediate,Intermediate,Average,Not Interested,Beginner,Beginner,Excellent,Intermediate,Excellent,Beginner,Not Interested,Not Interested,Excellent,Not Interested,Customer Service Executive
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Poor,Poor,Not Interested,Excellent,Not Interested,Customer Service Executive
Average,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Intermediate,Intermediate,Excellent,Poor,Beginner,Average,Intermediate,Not Interested,Project Manager
Beginner,Not Interested,Beginner,Intermediate,Average,Average,Poor,Intermediate,Beginner,Not Interested,Average,Not Interested,Excellent,Not Interested,Application Support Engineer
Not Interested,Beginner,Not Interested,Poor,Beginner,Not Interested,Average,Not Interested,Intermediate,Not Interested,Beginner,Excellent,Excellent,Not Interested,Business Analyst
Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Average,Average,Intermediate,Poor,Not Interested,Excellent,Average,Not Interested,Business Analyst
Intermediate,Poor,Not Interested,Not Interested,Beginner,Average,Poor,Excellent,Average,Intermediate,Average,Poor,Average,Not Interested,Data Scientist
Intermediate,Excellent,Intermediate,Intermediate,Excellent,Excellent,Beginner,Excellent,Intermediate,Intermediate,Not Interested,Not Interested,Beginner,Average,Software Developer
Excellent,Average,Poor,Average,Beginner,Excellent,Average,Excellent,Average,Beginner,Average,Not Interested,Beginner,Not Interested,Database Administrator
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Poor,Average,Excellent,Graphics Designer
Not Interested,Average,Poor,Beginner,Intermediate,Intermediate,Beginner,Intermediate,Beginner,Excellent,Not Interested,Intermediate,Poor,Not Interested,Data Scientist
Excellent,Not Interested,Average,Average,Not Interested,Beginner,Beginner,Beginner,Not Interested,Poor,Intermediate,Not Interested,Not Interested,Poor,Database Administrator
Poor,Poor,Poor,Not Interested,Beginner,Average,Not Interested,Intermediate,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Software Tester
Poor,Intermediate,Beginner,Not Interested,Intermediate,Intermediate,Poor,Excellent,Intermediate,Excellent,Average,Average,Not Interested,Beginner,AI ML Specialist
Beginner,Average,Not Interested,Poor,Average,Average,Intermediate,Intermediate,Not Interested,Average,Average,Not Interested,Average,Beginner,Data Scientist
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Beginner,Poor,Intermediate,Poor,Beginner,Average,Not Interested,Average,Not Interested,Software Tester
Not Interested,Not Interested,Intermediate,Intermediate,Average,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Not Interested,Poor,Intermediate,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Excellent,Not Interested,Not Interested,Poor,Beginner,Not Interested,Application Support Engineer
Poor,Excellent,Poor,Beginner,Not Interested,Intermediate,Not Interested,Average,Poor,Not Interested,Not Interested,Poor,Average,Poor,Hardware Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Average,Average,Average,Excellent,Average,Average,Intermediate,Poor,Data Scientist
Average,Intermediate,Beginner,Average,Beginner,Not Interested,Intermediate,Intermediate,Average,Beginner,Intermediate,Beginner,Not Interested,Not Interested,Hardware Engineer
Not Interested,Average,Not Interested,Average,Beginner,Not Interested,Excellent,Intermediate,Not Interested,Not Interested,Not Interested,Average,Not Interested,Poor,Hardware Engineer
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Average,Not Interested,Intermediate,Poor,Not Interested,Average,Beginner,Excellent,Graphics Designer
Beginner,Poor,Poor,Average,Not Interested,Not Interested,Poor,Intermediate,Intermediate,Poor,Poor,Excellent,Intermediate,Not Interested,Application Support Engineer
Not Interested,Beginner,Not Interested,Poor,Poor,Not Interested,Not Interested,Beginner,Average,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Application Support Engineer
Not Interested,Not Interested,Beginner,Not Interested,Beginner,Not Interested,Not Interested,Average,Excellent,Not Interested,Not Interested,Poor,Beginner,Not Interested,Application Support Engineer
Beginner,Beginner,Beginner,Beginner,Average,Average,Poor,Average,Beginner,Not Interested,Excellent,Not Interested,Average,Poor,API Specialist
Beginner,Average,Intermediate,Poor,Average,Average,Beginner,Excellent,Average,Poor,Not Interested,Beginner,Not Interested,Poor,Software Developer
Beginner,Poor,Beginner,Not Interested,Not Interested,Not Interested,Average,Poor,Average,Poor,Not Interested,Poor,Excellent,Not Interested,Customer Service Executive
Beginner,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Intermediate,Beginner,Not Interested,Average,Not Interested,Beginner,Not Interested,Software Tester
Intermediate,Intermediate,Average,Excellent,Beginner,Not Interested,Not Interested,Not Interested,Excellent,Poor,Beginner,Not Interested,Excellent,Beginner,Helpdesk Engineer
Not Interested,Not Interested,Excellent,Average,Beginner,Beginner,Poor,Intermediate,Poor,Not Interested,Poor,Poor,Poor,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,Poor,Not Interested,Excellent,Excellent,Not Interested,Intermediate,Beginner,Beginner,Intermediate,Not Interested,Intermediate,Average,Software Developer
Beginner,Not Interested,Not Interested,Average,Not Interested,Not Interested,Excellent,Beginner,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Poor,Project Manager
Intermediate,Beginner,Beginner,Not Interested,Not Interested,Not Interested,Intermediate,Excellent,Excellent,Not Interested,Not Interested,Average,Intermediate,Not Interested,Project Manager
Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Intermediate,Beginner,Excellent,Poor,Not Interested,Excellent,Not Interested,Not Interested,Business Analyst
Not Interested,Average,Excellent,Intermediate,Not Interested,Intermediate,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Average,Not Interested,Beginner,Not Interested,Not Interested,Poor,Poor,Average,Poor,Not Interested,Poor,Not Interested,Beginner,Not Interested,Database Administrator
Not Interested,Poor,Not Interested,Poor,Average,Poor,Excellent,Intermediate,Average,Not Interested,Not Interested,Average,Average,Not Interested,Project Manager
Poor,Average,Average,Poor,Not Interested,Beginner,Beginner,Intermediate,Beginner,Not Interested,Not Interested,Beginner,Average,Not Interested,Cyber Security Specialist
Average,Beginner,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Beginner,Average,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Technical Writer
Beginner,Beginner,Beginner,Beginner,Average,Average,Average,Excellent,Beginner,Excellent,Intermediate,Average,Excellent,Average,AI ML Specialist
Beginner,Excellent,Average,Intermediate,Beginner,Not Interested,Intermediate,Excellent,Beginner,Poor,Beginner,Not Interested,Beginner,Not Interested,Networking Engineer
Average,Excellent,Not Interested,Excellent,Not Interested,Intermediate,Average,Excellent,Average,Beginner,Not Interested,Poor,Intermediate,Average,Networking Engineer
Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Intermediate,Excellent,Not Interested,Average,Not Interested,Excellent,Not Interested,Project Manager
Intermediate,Average,Poor,Not Interested,Excellent,Poor,Intermediate,Average,Excellent,Intermediate,Not Interested,Not Interested,Intermediate,Not Interested,Project Manager
Excellent,Not Interested,Intermediate,Not Interested,Not Interested,Intermediate,Beginner,Excellent,Excellent,Average,Excellent,Intermediate,Intermediate,Not Interested,Application Support Engineer
Beginner,Not Interested,Average,Poor,Poor,Average,Intermediate,Intermediate,Excellent,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Customer Service Executive
Not Interested,Average,Average,Intermediate,Not Interested,Not Interested,Beginner,Intermediate,Intermediate,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Networking Engineer
Not Interested,Not Interested,Beginner,Not Interested,Excellent,Intermediate,Not Interested,Average,Average,Not Interested,Average,Not Interested,Intermediate,Beginner,API Specialist
Not Interested,Not Interested,Not Interested,Poor,Average,Average,Not Interested,Intermediate,Not Interested,Poor,Not Interested,Poor,Poor,Beginner,Software Developer
Intermediate,Beginner,Not Interested,Beginner,Not Interested,Beginner,Poor,Intermediate,Beginner,Not Interested,Poor,Beginner,Beginner,Not Interested,Database Administrator
Intermediate,Beginner,Beginner,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Excellent,Poor,Average,Excellent,Intermediate,Beginner,Business Analyst
Intermediate,Beginner,Beginner,Intermediate,Average,Intermediate,Beginner,Intermediate,Not Interested,Beginner,Not Interested,Average,Average,Not Interested,Software Developer
Intermediate,Not Interested,Beginner,Intermediate,Not Interested,Not Interested,Not Interested,Intermediate,Average,Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Application Support Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Average,Poor,Intermediate,Not Interested,Not Interested,Beginner,Not Interested,Beginner,Not Interested,API Specialist
Excellent,Not Interested,Excellent,Intermediate,Not Interested,Beginner,Not Interested,Excellent,Not Interested,Not Interested,Average,Excellent,Excellent,Poor,Information Security Specialist
Beginner,Not Interested,Poor,Poor,Poor,Not Interested,Excellent,Average,Average,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Project Manager
Not Interested,Poor,Poor,Not Interested,Poor,Beginner,Not Interested,Beginner,Intermediate,Poor,Intermediate,Not Interested,Beginner,Not Interested,Software Tester
Excellent,Not Interested,Not Interested,Beginner,Beginner,Intermediate,Excellent,Not Interested,Intermediate,Beginner,Poor,Excellent,Intermediate,Not Interested,Business Analyst
Average,Not Interested,Not Interested,Poor,Beginner,Average,Not Interested,Average,Not Interested,Beginner,Intermediate,Beginner,Average,Not Interested,Software Developer
Beginner,Poor,Beginner,Beginner,Not Interested,Beginner,Not Interested,Intermediate,Average,Intermediate,Average,Average,Beginner,Beginner,Data Scientist
Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Poor,Average,Intermediate,Excellent,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Application Support Engineer
Not Interested,Beginner,Poor,Not Interested,Beginner,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Beginner,Intermediate,Excellent,Not Interested,Technical Writer
Not Interested,Poor,Average,Poor,Intermediate,Intermediate,Intermediate,Average,Excellent,Beginner,Not Interested,Intermediate,Intermediate,Poor,Software Developer
Poor,Not Interested,Not Interested,Not Interested,Beginner,Poor,Not Interested,Average,Beginner,Not Interested,Intermediate,Poor,Not Interested,Not Interested,Software Tester
Average,Average,Excellent,Intermediate,Poor,Beginner,Intermediate,Intermediate,Excellent,Not Interested,Beginner,Poor,Not Interested,Not Interested,Information Security Specialist
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Not Interested,Average,Beginner,Excellent,Graphics Designer
Not Interested,Average,Beginner,Excellent,Intermediate,Excellent,Intermediate,Excellent,Excellent,Intermediate,Excellent,Not Interested,Excellent,Average,Software Tester
Average,Not Interested,Intermediate,Average,Average,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Not Interested,Beginner,Average,Poor,Application Support Engineer
Average,Average,Poor,Excellent,Excellent,Excellent,Average,Excellent,Intermediate,Not Interested,Not Interested,Average,Intermediate,Not Interested,API Specialist
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Intermediate,Excellent,Graphics Designer
Poor,Beginner,Poor,Not Interested,Not Interested,Average,Beginner,Beginner,Average,Average,Poor,Excellent,Not Interested,Beginner,Data Scientist
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Average,Not Interested,Not Interested,Not Interested,Average,Not Interested,Customer Service Executive
Not Interested,Beginner,Not Interested,Not Interested,Excellent,Excellent,Poor,Excellent,Not Interested,Beginner,Excellent,Not Interested,Not Interested,Not Interested,Software Developer
Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Average,Intermediate,Graphics Designer
Not Interested,Intermediate,Not Interested,Not Interested,Excellent,Excellent,Average,Intermediate,Intermediate,Not Interested,Excellent,Intermediate,Average,Not Interested,Software Developer
Beginner,Not Interested,Not Interested,Beginner,Average,Excellent,Average,Excellent,Poor,Excellent,Intermediate,Intermediate,Average,Poor,AI ML Specialist
Not Interested,Not Interested,Average,Beginner,Excellent,Average,Intermediate,Excellent,Beginner,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Software Developer
Average,Not Interested,Not Interested,Poor,Not Interested,Beginner,Average,Not Interested,Excellent,Not Interested,Average,Excellent,Not Interested,Beginner,Business Analyst
Beginner,Average,Average,Excellent,Beginner,Poor,Beginner,Intermediate,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Networking Engineer
Average,Not Interested,Not Interested,Not Interested,Average,Intermediate,Not Interested,Excellent,Not Interested,Average,Intermediate,Average,Beginner,Poor,Data Scientist
Intermediate,Average,Poor,Poor,Not Interested,Beginner,Excellent,Intermediate,Average,Not Interested,Intermediate,Excellent,Not Interested,Poor,Business Analyst
Excellent,Not Interested,Intermediate,Average,Not Interested,Average,Excellent,Not Interested,Excellent,Not Interested,Not Interested,Excellent,Excellent,Average,Business Analyst
Average,Poor,Average,Excellent,Average,Not Interested,Not Interested,Not Interested,Excellent,Poor,Not Interested,Beginner,Intermediate,Not Interested,Helpdesk Engineer
Not Interested,Excellent,Not Interested,Beginner,Poor,Poor,Average,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Hardware Engineer
Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Average,Intermediate,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Application Support Engineer
Not Interested,Beginner,Not Interested,Beginner,Intermediate,Intermediate,Average,Intermediate,Intermediate,Excellent,Intermediate,Average,Intermediate,Average,Data Scientist
Not Interested,Poor,Not Interested,Intermediate,Not Interested,Poor,Beginner,Poor,Not Interested,Not Interested,Not Interested,Average,Average,Poor,Networking Engineer
Not Interested,Excellent,Beginner,Average,Beginner,Beginner,Beginner,Intermediate,Poor,Beginner,Average,Beginner,Beginner,Not Interested,Hardware Engineer
Not Interested,Poor,Poor,Beginner,Average,Excellent,Poor,Intermediate,Beginner,Not Interested,Not Interested,Not Interested,Average,Not Interested,Software Developer
Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Intermediate,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Business Analyst
Poor,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Average,Not Interested,Excellent,Poor,Not Interested,Intermediate,Excellent,Not Interested,Customer Service Executive
Average,Not Interested,Average,Beginner,Not Interested,Not Interested,Intermediate,Not Interested,Excellent,Not Interested,Beginner,Not Interested,Excellent,Poor,Customer Service Executive
Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Average,Intermediate,Excellent,Not Interested,Not Interested,Excellent,Excellent,Poor,Business Analyst
Not Interested,Beginner,Beginner,Poor,Beginner,Poor,Poor,Poor,Beginner,Poor,Beginner,Beginner,Average,Not Interested,API Specialist
Beginner,Not Interested,Not Interested,Beginner,Poor,Not Interested,Average,Not Interested,Excellent,Not Interested,Beginner,Excellent,Not Interested,Not Interested,Business Analyst
Not Interested,Average,Average,Average,Poor,Poor,Intermediate,Not Interested,Intermediate,Beginner,Not Interested,Average,Excellent,Not Interested,Helpdesk Engineer
Intermediate,Not Interested,Beginner,Average,Excellent,Average,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Software Developer
Intermediate,Beginner,Not Interested,Not Interested,Average,Excellent,Poor,Intermediate,Average,Average,Intermediate,Poor,Beginner,Not Interested,Data Scientist
Beginner,Not Interested,Beginner,Not Interested,Not Interested,Poor,Not Interested,Intermediate,Excellent,Not Interested,Not Interested,Poor,Average,Not Interested,Application Support Engineer
Intermediate,Average,Average,Intermediate,Intermediate,Average,Not Interested,Excellent,Not Interested,Poor,Average,Not Interested,Beginner,Not Interested,Database Administrator
Average,Intermediate,Poor,Intermediate,Intermediate,Average,Excellent,Excellent,Excellent,Not Interested,Intermediate,Not Interested,Average,Not Interested,API Specialist
Poor,Beginner,Excellent,Average,Average,Poor,Beginner,Beginner,Intermediate,Not Interested,Not Interested,Poor,Not Interested,Poor,Cyber Security Specialist
Poor,Excellent,Beginner,Excellent,Beginner,Intermediate,Average,Beginner,Poor,Intermediate,Beginner,Not Interested,Poor,Not Interested,Hardware Engineer
Not Interested,Not Interested,Not Interested,Average,Poor,Not Interested,Poor,Not Interested,Excellent,Not Interested,Poor,Average,Excellent,Not Interested,Helpdesk Engineer
Beginner,Not Interested,Beginner,Poor,Not Interested,Not Interested,Excellent,Intermediate,Excellent,Beginner,Poor,Intermediate,Excellent,Not Interested,Project Manager
Beginner,Beginner,Not Interested,Average,Not Interested,Not Interested,Poor,Not Interested,Average,Not Interested,Not Interested,Beginner,Excellent,Not Interested,Helpdesk Engineer
Excellent,Poor,Beginner,Average,Poor,Beginner,Beginner,Excellent,Intermediate,Not Interested,Average,Not Interested,Average,Not Interested,Database Administrator
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Excellent,Not Interested,Poor,Not Interested,Average,Not Interested,Project Manager
Average,Intermediate,Not Interested,Average,Average,Excellent,Beginner,Excellent,Intermediate,Excellent,Beginner,Intermediate,Average,Not Interested,AI ML Specialist
Poor,Not Interested,Average,Not Interested,Beginner,Not Interested,Average,Poor,Intermediate,Not Interested,Not Interested,Beginner,Intermediate,Excellent,Graphics Designer
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Beginner,Average,Excellent,Graphics Designer
Beginner,Excellent,Not Interested,Intermediate,Poor,Average,Poor,Average,Poor,Not Interested,Average,Not Interested,Beginner,Not Interested,Hardware Engineer
Not Interested,Excellent,Not Interested,Average,Not Interested,Beginner,Not Interested,Average,Average,Beginner,Poor,Not Interested,Beginner,Poor,Hardware Engineer
Poor,Poor,Poor,Beginner,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Not Interested,Not Interested,Beginner,Excellent,Not Interested,Customer Service Executive
Excellent,Poor,Intermediate,Beginner,Not Interested,Not Interested,Not Interested,Average,Average,Not Interested,Not Interested,Poor,Average,Not Interested,Database Administrator
Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Average,Excellent,Average,Excellent,Not Interested,Not Interested,Average,Average,Not Interested,Customer Service Executive
Not Interested,Not Interested,Poor,Not Interested,Average,Beginner,Average,Excellent,Beginner,Beginner,Intermediate,Excellent,Intermediate,Not Interested,Software Tester
Excellent,Not Interested,Not Interested,Poor,Not Interested,Average,Intermediate,Average,Beginner,Poor,Beginner,Intermediate,Not Interested,Not Interested,Business Analyst
Average,Not Interested,Beginner,Poor,Intermediate,Intermediate,Poor,Excellent,Not Interested,Not Interested,Excellent,Not Interested,Average,Not Interested,Software Tester
