Databases,Hardware,Security,Networking,Software Development,Programming Skills,Project Management,Core Technical,Communication,AI ML,Software Engineering,Business Analysis and Data Science,Communication Skills,IT Graphics Designing,Role
Not Interested,Poor,Average,Beginner,Not Interested,Poor,Average,Not Interested,Excellent,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,IT Support
Excellent,Excellent,Excellent,Excellent,Not Interested,Intermediate,Intermediate,Excellent,Not Interested,Intermediate,Excellent,Not Interested,Excellent,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Poor,Not Interested,Not Interested,Average,Intermediate,Not Interested,Average,Intermediate,Average,Poor,Not Interested,Average,Not Interested,"Data Science, ML or AI"
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Intermediate,Beginner,Intermediate,Frontend or Graphics Designer
Not Interested,Not Interested,Excellent,Excellent,Poor,Not Interested,Poor,Intermediate,Beginner,Poor,Poor,Not Interested,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Poor,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Average,Not Interested,Average,Not Interested,Not Interested,Beginner,Average,Intermediate,Frontend or Graphics Designer
Excellent,Not Interested,Beginner,Average,Beginner,Poor,Not Interested,Average,Beginner,Not Interested,Beginner,Not Interested,Poor,Not Interested,Backend or databases
Beginner,Beginner,Beginner,Excellent,Not Interested,Not Interested,Not Interested,Beginner,Average,Not Interested,Not Interested,Poor,Beginner,Not Interested,IT Support
Intermediate,Average,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Intermediate,Intermediate,Not Interested,Not Interested,Average,Excellent,Not Interested,IT Support
Beginner,Not Interested,Poor,Poor,Not Interested,Not Interested,Not Interested,Beginner,Average,Not Interested,Not Interested,Poor,Poor,Not Interested,Backend or databases
Intermediate,Excellent,Beginner,Not Interested,Intermediate,Intermediate,Poor,Intermediate,Average,Excellent,Average,Beginner,Intermediate,Poor,"Data Science, ML or AI"
Intermediate,Average,Intermediate,Not Interested,Excellent,Excellent,Average,Excellent,Average,Not Interested,Excellent,Not Interested,Not Interested,Average,Software Engineer
Average,Excellent,Excellent,Excellent,Not Interested,Average,Average,Intermediate,Not Interested,Not Interested,Average,Beginner,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Average,Not Interested,Poor,Not Interested,Beginner,Intermediate,Poor,Intermediate,Intermediate,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Software Engineer
Not Interested,Intermediate,Not Interested,Excellent,Not Interested,Beginner,Not Interested,Not Interested,Excellent,Not Interested,Average,Not Interested,Excellent,Beginner,IT Support
Intermediate,Excellent,Not Interested,Excellent,Not Interested,Average,Average,Intermediate,Intermediate,Poor,Average,Not Interested,Average,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Excellent,Intermediate,Excellent,Not Interested,Average,Not Interested,Excellent,Intermediate,Not Interested,Poor,Poor,Average,Poor,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Beginner,Average,Frontend or Graphics Designer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Average,Excellent,Frontend or Graphics Designer
Average,Not Interested,Not Interested,Not Interested,Intermediate,Average,Average,Intermediate,Excellent,Poor,Beginner,Excellent,Excellent,Not Interested,Business Analyst
Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Excellent,Poor,IT Support
Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Intermediate,Intermediate,Not Interested,Beginner,Average,Excellent,Not Interested,IT Support
Intermediate,Average,Not Interested,Poor,Intermediate,Excellent,Average,Intermediate,Not Interested,Beginner,Intermediate,Average,Average,Not Interested,"Data Science, ML or AI"
Poor,Excellent,Beginner,Intermediate,Poor,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Hardware Engineer
Average,Average,Beginner,Beginner,Average,Average,Not Interested,Excellent,Average,Excellent,Intermediate,Intermediate,Intermediate,Not Interested,"Data Science, ML or AI"
Excellent,Beginner,Not Interested,Poor,Not Interested,Intermediate,Intermediate,Excellent,Intermediate,Excellent,Average,Not Interested,Average,Average,"Data Science, ML or AI"
Not Interested,Beginner,Average,Average,Excellent,Excellent,Beginner,Average,Not Interested,Intermediate,Intermediate,Beginner,Not Interested,Poor,Software Engineer
Average,Intermediate,Not Interested,Excellent,Not Interested,Beginner,Beginner,Excellent,Not Interested,Beginner,Not Interested,Poor,Average,Poor,"Cyber Security, Administration or Networking"
Intermediate,Excellent,Not Interested,Poor,Intermediate,Excellent,Not Interested,Excellent,Average,Excellent,Average,Not Interested,Intermediate,Not Interested,"Data Science, ML or AI"
Excellent,Beginner,Average,Intermediate,Intermediate,Excellent,Excellent,Not Interested,Average,Not Interested,Average,Intermediate,Average,Average,Business Analyst
Beginner,Not Interested,Not Interested,Not Interested,Poor,Beginner,Average,Average,Average,Not Interested,Beginner,Average,Poor,Not Interested,Business Analyst
Beginner,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Poor,Intermediate,Intermediate,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Not Interested,Not Interested,Poor,Excellent,Excellent,Poor,Excellent,Not Interested,Poor,Not Interested,Not Interested,Poor,Poor,Software Engineer
Excellent,Intermediate,Intermediate,Excellent,Not Interested,Not Interested,Average,Excellent,Excellent,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,IT Support
Beginner,Not Interested,Excellent,Beginner,Not Interested,Not Interested,Beginner,Average,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,"Cyber Security, Administration or Networking"
Excellent,Not Interested,Intermediate,Not Interested,Intermediate,Excellent,Not Interested,Excellent,Excellent,Average,Intermediate,Not Interested,Average,Not Interested,IT Support
Poor,Not Interested,Poor,Poor,Not Interested,Intermediate,Average,Excellent,Average,Excellent,Intermediate,Intermediate,Not Interested,Beginner,"Data Science, ML or AI"
Average,Excellent,Average,Excellent,Excellent,Excellent,Intermediate,Excellent,Intermediate,Not Interested,Excellent,Average,Intermediate,Average,Software Engineer
Excellent,Beginner,Excellent,Excellent,Excellent,Beginner,Beginner,Excellent,Excellent,Beginner,Intermediate,Average,Intermediate,Poor,Backend or databases
Intermediate,Not Interested,Not Interested,Average,Not Interested,Intermediate,Excellent,Excellent,Excellent,Beginner,Beginner,Excellent,Not Interested,Not Interested,Business Analyst
Average,Intermediate,Excellent,Excellent,Not Interested,Intermediate,Intermediate,Excellent,Excellent,Poor,Intermediate,Not Interested,Excellent,Beginner,"Cyber Security, Administration or Networking"
Not Interested,Beginner,Poor,Intermediate,Not Interested,Not Interested,Not Interested,Intermediate,Excellent,Poor,Poor,Not Interested,Excellent,Not Interested,IT Support
Not Interested,Beginner,Excellent,Average,Beginner,Poor,Beginner,Average,Beginner,Not Interested,Beginner,Beginner,Not Interested,Beginner,"Cyber Security, Administration or Networking"
Not Interested,Poor,Not Interested,Not Interested,Poor,Average,Not Interested,Average,Average,Not Interested,Average,Excellent,Not Interested,Not Interested,Software Tester
Beginner,Not Interested,Not Interested,Poor,Intermediate,Excellent,Not Interested,Excellent,Excellent,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Software Engineer
Not Interested,Average,Excellent,Excellent,Not Interested,Average,Not Interested,Average,Average,Beginner,Poor,Not Interested,Poor,Not Interested,"Cyber Security, Administration or Networking"
Excellent,Average,Average,Average,Not Interested,Beginner,Excellent,Excellent,Excellent,Average,Not Interested,Excellent,Excellent,Average,Business Analyst
Not Interested,Poor,Average,Poor,Intermediate,Excellent,Beginner,Average,Average,Excellent,Intermediate,Intermediate,Beginner,Not Interested,"Data Science, ML or AI"
Not Interested,Beginner,Beginner,Excellent,Poor,Average,Not Interested,Average,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,IT Support
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Beginner,Poor,Excellent,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,IT Support
Poor,Not Interested,Poor,Not Interested,Beginner,Beginner,Beginner,Average,Poor,Not Interested,Beginner,Not Interested,Beginner,Not Interested,Software Engineer
Average,Not Interested,Not Interested,Not Interested,Beginner,Average,Beginner,Intermediate,Intermediate,Not Interested,Intermediate,Not Interested,Beginner,Not Interested,Software Tester
Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,IT Support
Beginner,Average,Poor,Intermediate,Not Interested,Not Interested,Poor,Excellent,Not Interested,Not Interested,Beginner,Beginner,Average,Not Interested,"Cyber Security, Administration or Networking"
Average,Not Interested,Not Interested,Beginner,Not Interested,Beginner,Beginner,Beginner,Intermediate,Not Interested,Not Interested,Poor,Intermediate,Not Interested,IT Support
Average,Beginner,Beginner,Poor,Poor,Intermediate,Poor,Intermediate,Excellent,Not Interested,Beginner,Poor,Average,Not Interested,IT Support
Poor,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Average,Poor,Intermediate,Not Interested,Not Interested,Poor,Excellent,Not Interested,IT Support
Poor,Not Interested,Not Interested,Not Interested,Average,Beginner,Not Interested,Average,Not Interested,Not Interested,Not Interested,Poor,Average,Poor,Software Engineer
Not Interested,Not Interested,Poor,Poor,Average,Not Interested,Average,Poor,Average,Not Interested,Not Interested,Average,Average,Not Interested,Business Analyst
Average,Not Interested,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Beginner,Not Interested,Not Interested,Average,Excellent,Not Interested,Not Interested,Software Tester
Average,Not Interested,Beginner,Poor,Average,Intermediate,Beginner,Intermediate,Average,Intermediate,Not Interested,Average,Poor,Poor,"Data Science, ML or AI"
Not Interested,Excellent,Excellent,Excellent,Average,Intermediate,Poor,Excellent,Beginner,Not Interested,Average,Not Interested,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Intermediate,Poor,Poor,Intermediate,Intermediate,Not Interested,Intermediate,Not Interested,Average,Average,Poor,Average,Not Interested,Software Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Average,Not Interested,Intermediate,Not Interested,Not Interested,Excellent,Beginner,Poor,Business Analyst
Not Interested,Average,Poor,Intermediate,Beginner,Poor,Average,Not Interested,Intermediate,Average,Not Interested,Beginner,Excellent,Excellent,Frontend or Graphics Designer
Average,Excellent,Not Interested,Excellent,Poor,Beginner,Beginner,Average,Average,Poor,Poor,Not Interested,Average,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Poor,Beginner,Beginner,Not Interested,Intermediate,Average,Not Interested,Business Analyst
Average,Average,Beginner,Beginner,Beginner,Excellent,Intermediate,Excellent,Average,Intermediate,Average,Beginner,Not Interested,Not Interested,"Data Science, ML or AI"
Excellent,Not Interested,Beginner,Not Interested,Intermediate,Excellent,Beginner,Excellent,Excellent,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Software Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Average,Intermediate,Poor,Not Interested,Not Interested,Average,Not Interested,IT Support
Intermediate,Not Interested,Average,Intermediate,Not Interested,Not Interested,Average,Beginner,Average,Not Interested,Average,Average,Not Interested,Not Interested,Backend or databases
Not Interested,Not Interested,Poor,Not Interested,Beginner,Average,Poor,Beginner,Average,Not Interested,Not Interested,Poor,Beginner,Not Interested,Software Engineer
Intermediate,Poor,Poor,Beginner,Beginner,Beginner,Excellent,Excellent,Excellent,Not Interested,Average,Excellent,Excellent,Not Interested,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Excellent,Not Interested,Not Interested,Beginner,Average,Poor,IT Support
Excellent,Not Interested,Poor,Beginner,Beginner,Not Interested,Poor,Beginner,Intermediate,Not Interested,Beginner,Beginner,Beginner,Not Interested,Backend or databases
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Beginner,Beginner,Excellent,Beginner,Not Interested,Beginner,Intermediate,Excellent,Frontend or Graphics Designer
Intermediate,Poor,Not Interested,Not Interested,Beginner,Poor,Excellent,Beginner,Intermediate,Poor,Beginner,Excellent,Excellent,Beginner,Business Analyst
Not Interested,Excellent,Average,Excellent,Beginner,Excellent,Not Interested,Excellent,Average,Intermediate,Excellent,Not Interested,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Beginner,Poor,Intermediate,Excellent,Frontend or Graphics Designer
Beginner,Intermediate,Intermediate,Beginner,Beginner,Beginner,Beginner,Average,Average,Beginner,Beginner,Average,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Average,Excellent,Poor,Not Interested,Excellent,Intermediate,Poor,Excellent,Beginner,Excellent,Intermediate,Excellent,Intermediate,Not Interested,"Data Science, ML or AI"
Not Interested,Intermediate,Not Interested,Excellent,Average,Beginner,Poor,Excellent,Intermediate,Not Interested,Average,Poor,Average,Poor,"Cyber Security, Administration or Networking"
Average,Poor,Poor,Beginner,Average,Average,Not Interested,Excellent,Not Interested,Not Interested,Intermediate,Beginner,Not Interested,Not Interested,Software Engineer
Intermediate,Intermediate,Excellent,Average,Not Interested,Beginner,Beginner,Excellent,Average,Not Interested,Not Interested,Not Interested,Poor,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Not Interested,Not Interested,Poor,Beginner,Beginner,Average,Average,Excellent,Intermediate,Beginner,Not Interested,Poor,Not Interested,"Data Science, ML or AI"
Beginner,Beginner,Poor,Poor,Intermediate,Beginner,Average,Intermediate,Average,Intermediate,Average,Not Interested,Average,Beginner,"Data Science, ML or AI"
Average,Not Interested,Poor,Not Interested,Beginner,Poor,Poor,Beginner,Not Interested,Not Interested,Not Interested,Poor,Poor,Not Interested,Backend or databases
Intermediate,Average,Excellent,Beginner,Not Interested,Beginner,Average,Excellent,Average,Poor,Not Interested,Poor,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Average,Intermediate,Intermediate,Excellent,Poor,Beginner,Excellent,Intermediate,Average,Poor,Not Interested,Average,Not Interested,Beginner,"Cyber Security, Administration or Networking"
Intermediate,Average,Intermediate,Excellent,Poor,Not Interested,Average,Excellent,Intermediate,Poor,Not Interested,Average,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Average,Intermediate,Intermediate,Not Interested,Beginner,Intermediate,Not Interested,Not Interested,Business Analyst
Not Interested,Not Interested,Average,Average,Not Interested,Not Interested,Not Interested,Beginner,Average,Not Interested,Not Interested,Not Interested,Average,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Average,Not Interested,Not Interested,Poor,Average,Excellent,Frontend or Graphics Designer
Excellent,Average,Intermediate,Not Interested,Excellent,Excellent,Not Interested,Excellent,Average,Beginner,Excellent,Average,Intermediate,Poor,Software Tester
Not Interested,Intermediate,Beginner,Intermediate,Excellent,Excellent,Average,Excellent,Intermediate,Excellent,Intermediate,Average,Excellent,Not Interested,"Data Science, ML or AI"
Intermediate,Excellent,Average,Intermediate,Beginner,Average,Beginner,Average,Average,Not Interested,Average,Beginner,Average,Not Interested,Hardware Engineer
Beginner,Poor,Intermediate,Intermediate,Poor,Poor,Poor,Average,Poor,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Excellent,Beginner,Average,Intermediate,Intermediate,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Not Interested,Average,Poor,Software Engineer
Beginner,Beginner,Beginner,Not Interested,Beginner,Intermediate,Average,Average,Not Interested,Intermediate,Excellent,Intermediate,Beginner,Not Interested,"Data Science, ML or AI"
Intermediate,Poor,Poor,Poor,Beginner,Poor,Not Interested,Average,Beginner,Not Interested,Intermediate,Average,Poor,Not Interested,Backend or databases
Not Interested,Poor,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Average,Excellent,Not Interested,Not Interested,Average,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Poor,Not Interested,Poor,Average,Average,Beginner,Average,Average,Excellent,Beginner,Average,Beginner,Not Interested,"Data Science, ML or AI"
Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Intermediate,Intermediate,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,IT Support
Beginner,Not Interested,Beginner,Average,Poor,Poor,Average,Beginner,Excellent,Poor,Not Interested,Poor,Excellent,Poor,IT Support
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Average,Average,Not Interested,Poor,Beginner,Beginner,Not Interested,IT Support
Beginner,Excellent,Excellent,Excellent,Not Interested,Not Interested,Beginner,Excellent,Not Interested,Poor,Intermediate,Excellent,Intermediate,Poor,"Cyber Security, Administration or Networking"
Not Interested,Beginner,Intermediate,Excellent,Not Interested,Poor,Intermediate,Intermediate,Intermediate,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Beginner,Excellent,Excellent,Poor,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Average,Not Interested,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Beginner,Not Interested,Not Interested,Average,Average,Not Interested,Average,Average,Intermediate,Poor,Intermediate,Average,Poor,"Data Science, ML or AI"
Not Interested,Poor,Not Interested,Beginner,Not Interested,Excellent,Average,Average,Beginner,Excellent,Average,Intermediate,Average,Beginner,"Data Science, ML or AI"
Average,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Average,Intermediate,Excellent,Not Interested,Poor,Poor,Excellent,Average,IT Support
Intermediate,Excellent,Not Interested,Not Interested,Intermediate,Excellent,Poor,Intermediate,Average,Average,Not Interested,Poor,Beginner,Not Interested,Software Engineer
Poor,Beginner,Beginner,Not Interested,Not Interested,Not Interested,Average,Average,Excellent,Not Interested,Not Interested,Average,Beginner,Not Interested,IT Support
Excellent,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Poor,Beginner,Beginner,Not Interested,Not Interested,Average,Poor,Not Interested,Backend or databases
Not Interested,Not Interested,Intermediate,Intermediate,Excellent,Excellent,Average,Excellent,Not Interested,Intermediate,Excellent,Intermediate,Average,Poor,Software Engineer
Not Interested,Average,Poor,Not Interested,Excellent,Excellent,Average,Intermediate,Excellent,Average,Average,Intermediate,Intermediate,Not Interested,"Data Science, ML or AI"
Excellent,Beginner,Average,Excellent,Beginner,Excellent,Excellent,Excellent,Intermediate,Not Interested,Average,Not Interested,Excellent,Poor,Backend or databases
Intermediate,Intermediate,Excellent,Intermediate,Beginner,Intermediate,Intermediate,Excellent,Intermediate,Not Interested,Beginner,Beginner,Intermediate,Not Interested,Backend or databases
Intermediate,Average,Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Excellent,Intermediate,Not Interested,Excellent,Intermediate,Not Interested,Poor,Software Engineer
Poor,Excellent,Not Interested,Excellent,Average,Beginner,Intermediate,Intermediate,Not Interested,Beginner,Not Interested,Not Interested,Average,Not Interested,"Cyber Security, Administration or Networking"
Intermediate,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Average,Excellent,Excellent,Excellent,Intermediate,Beginner,Intermediate,Intermediate,"Data Science, ML or AI"
Not Interested,Not Interested,Average,Average,Poor,Not Interested,Beginner,Intermediate,Excellent,Not Interested,Beginner,Not Interested,Excellent,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Intermediate,Excellent,Excellent,Not Interested,Not Interested,Average,Intermediate,Beginner,Poor,Beginner,Not Interested,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Poor,Not Interested,Average,Intermediate,Not Interested,Not Interested,Beginner,Average,Intermediate,Not Interested,Not Interested,Poor,Average,Not Interested,"Cyber Security, Administration or Networking"
Average,Average,Average,Average,Not Interested,Average,Poor,Excellent,Beginner,Not Interested,Intermediate,Not Interested,Poor,Average,"Cyber Security, Administration or Networking"
Poor,Not Interested,Not Interested,Poor,Intermediate,Average,Poor,Beginner,Beginner,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Software Engineer
Poor,Not Interested,Not Interested,Poor,Average,Average,Not Interested,Beginner,Average,Not Interested,Beginner,Poor,Beginner,Not Interested,Software Engineer
Not Interested,Beginner,Not Interested,Poor,Beginner,Average,Not Interested,Intermediate,Average,Average,Beginner,Average,Not Interested,Not Interested,"Data Science, ML or AI"
Poor,Not Interested,Not Interested,Intermediate,Average,Not Interested,Not Interested,Average,Excellent,Not Interested,Poor,Not Interested,Intermediate,Not Interested,IT Support
Poor,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Average,Poor,Excellent,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,IT Support
Not Interested,Beginner,Average,Intermediate,Poor,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Poor,Average,Not Interested,Poor,Intermediate,Beginner,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,IT Support
Not Interested,Not Interested,Not Interested,Average,Poor,Beginner,Beginner,Average,Excellent,Not Interested,Poor,Not Interested,Intermediate,Poor,IT Support
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Average,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Intermediate,Frontend or Graphics Designer
Beginner,Intermediate,Not Interested,Excellent,Beginner,Poor,Poor,Beginner,Not Interested,Poor,Average,Not Interested,Not Interested,Not Interested,Hardware Engineer
Beginner,Not Interested,Beginner,Not Interested,Not Interested,Poor,Excellent,Beginner,Intermediate,Not Interested,Beginner,Intermediate,Not Interested,Poor,Business Analyst
Beginner,Not Interested,Average,Average,Not Interested,Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Not Interested,Beginner,Excellent,Not Interested,IT Support
Not Interested,Poor,Beginner,Beginner,Not Interested,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Poor,Poor,Excellent,Not Interested,IT Support
Beginner,Excellent,Average,Excellent,Beginner,Average,Beginner,Excellent,Average,Average,Average,Not Interested,Intermediate,Poor,"Cyber Security, Administration or Networking"
Not Interested,Beginner,Not Interested,Poor,Not Interested,Poor,Average,Poor,Excellent,Not Interested,Not Interested,Excellent,Excellent,Not Interested,IT Support
Average,Not Interested,Not Interested,Poor,Average,Average,Not Interested,Excellent,Not Interested,Beginner,Average,Beginner,Not Interested,Poor,Software Engineer
Beginner,Not Interested,Beginner,Average,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Average,Intermediate,Not Interested,IT Support
Not Interested,Not Interested,Average,Not Interested,Excellent,Intermediate,Average,Excellent,Not Interested,Average,Excellent,Not Interested,Intermediate,Beginner,Software Engineer
Not Interested,Average,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Intermediate,Not Interested,Not Interested,Not Interested,Average,Not Interested,IT Support
Average,Intermediate,Not Interested,Average,Intermediate,Excellent,Not Interested,Excellent,Not Interested,Beginner,Average,Beginner,Not Interested,Not Interested,Software Engineer
Poor,Poor,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Excellent,Not Interested,Poor,Not Interested,Excellent,Not Interested,IT Support
Beginner,Not Interested,Not Interested,Poor,Beginner,Not Interested,Poor,Not Interested,Intermediate,Not Interested,Not Interested,Intermediate,Average,Not Interested,IT Support
Poor,Not Interested,Not Interested,Not Interested,Average,Average,Poor,Poor,Not Interested,Beginner,Excellent,Beginner,Not Interested,Not Interested,Software Tester
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Average,Not Interested,Excellent,Not Interested,Not Interested,Poor,Excellent,Excellent,Frontend or Graphics Designer
Not Interested,Intermediate,Beginner,Not Interested,Excellent,Excellent,Excellent,Excellent,Average,Not Interested,Not Interested,Average,Intermediate,Not Interested,Software Engineer
Excellent,Average,Excellent,Intermediate,Average,Beginner,Intermediate,Intermediate,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Average,Backend or databases
Not Interested,Not Interested,Beginner,Poor,Intermediate,Average,Intermediate,Beginner,Intermediate,Not Interested,Beginner,Excellent,Not Interested,Poor,Business Analyst
Excellent,Beginner,Poor,Not Interested,Excellent,Intermediate,Beginner,Beginner,Intermediate,Not Interested,Intermediate,Poor,Not Interested,Average,Software Engineer
Beginner,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Average,Poor,Intermediate,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Business Analyst
Excellent,Poor,Intermediate,Average,Not Interested,Average,Poor,Excellent,Average,Not Interested,Beginner,Beginner,Not Interested,Not Interested,Backend or databases
Not Interested,Not Interested,Intermediate,Beginner,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Average,Poor,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Average,Not Interested,Beginner,Not Interested,Not Interested,Poor,Average,Not Interested,Intermediate,Beginner,Average,Beginner,Average,Not Interested,Business Analyst
Average,Average,Beginner,Beginner,Poor,Beginner,Beginner,Excellent,Poor,Not Interested,Beginner,Beginner,Average,Beginner,Hardware Engineer
Excellent,Not Interested,Beginner,Average,Intermediate,Average,Average,Excellent,Excellent,Poor,Intermediate,Not Interested,Average,Poor,Backend or databases
Average,Excellent,Beginner,Excellent,Beginner,Beginner,Not Interested,Excellent,Average,Average,Average,Beginner,Average,Not Interested,Hardware Engineer
Not Interested,Not Interested,Poor,Not Interested,Average,Not Interested,Intermediate,Not Interested,Excellent,Not Interested,Not Interested,Excellent,Not Interested,Poor,Business Analyst
Average,Excellent,Excellent,Excellent,Beginner,Average,Not Interested,Excellent,Excellent,Beginner,Average,Beginner,Average,Beginner,"Cyber Security, Administration or Networking"
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Average,Intermediate,Intermediate,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Business Analyst
Intermediate,Beginner,Average,Average,Not Interested,Excellent,Not Interested,Intermediate,Average,Not Interested,Intermediate,Poor,Poor,Not Interested,Backend or databases
Intermediate,Average,Beginner,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Excellent,Not Interested,Excellent,Average,"Data Science, ML or AI"
Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Beginner,Not Interested,Excellent,Excellent,Not Interested,Not Interested,Beginner,Excellent,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Average,Beginner,Beginner,Excellent,Not Interested,Not Interested,Excellent,Poor,Not Interested,Excellent,Average,Not Interested,Not Interested,Software Tester
Average,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Intermediate,Not Interested,Excellent,Not Interested,Beginner,Excellent,Excellent,Not Interested,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Average,Average,Excellent,Not Interested,Not Interested,Beginner,Poor,Excellent,Frontend or Graphics Designer
Excellent,Not Interested,Excellent,Beginner,Poor,Beginner,Not Interested,Average,Average,Not Interested,Average,Beginner,Not Interested,Beginner,Backend or databases
Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Poor,Not Interested,Intermediate,Excellent,Not Interested,Not Interested,Poor,Excellent,Not Interested,IT Support
